Date,Map Name,Match Result,Agent Name,kills,headshots,deaths,assists,damage,damageReceived,plants,defuses,firstBloods,kdRatio,placement,rank
2021-10-04T15:20:39.484-04:00,Haven,defeat,Sage,11,4,19,8,2182,3422,5,0,2,0.578947368,8,Silver 1
2021-09-25T10:31:27.707-04:00,Haven,defeat,Sage,3,2,14,4,1354,2655,4,0,0,0.214285714,10,Silver 1
2021-09-25T09:54:45.189-04:00,Ascent,defeat,Cypher,0,0,10,0,135,1742,0,0,0,0,10,Silver 1
2021-09-24T15:44:34.666-04:00,Ascent,defeat,Omen,13,6,25,7,2641,4667,0,0,2,0.52,9,Silver 1
2021-09-19T13:11:33.333-04:00,Bind,victory,Omen,8,1,11,5,1789,1965,0,0,1,0.727272727,9,Silver 1
2021-09-19T12:41:11.144-04:00,Ascent,defeat,Cypher,5,3,15,3,1458,2429,0,0,1,0.333333333,9,Silver 1
2021-09-19T12:02:26.079-04:00,Bind,defeat,Sage,11,4,19,6,2485,3398,1,0,1,0.578947368,10,Silver 1
2021-09-18T19:15:40.238-04:00,Bind,defeat,Sage,10,4,17,4,1890,2997,1,0,1,0.588235294,9,Silver 1
2021-09-17T18:27:46.409-04:00,Ascent,defeat,Phoenix,17,4,20,6,3561,4336,1,1,2,0.85,6,Silver 1
2021-09-17T17:32:28.899-04:00,Ascent,victory,Sage,13,5,20,6,2105,3742,2,0,0,0.65,8,Silver 1
2021-09-17T17:07:45.906-04:00,Haven,victory,Sage,11,6,8,7,3367,2619,0,0,2,1.375,2,Silver 1
2021-09-14T15:02:11.168-04:00,Split,defeat,Reyna,12,8,28,3,2734,5107,0,0,3,0.428571429,10,Silver 1
2021-09-13T17:10:59.076-04:00,Ascent,defeat,Sage,15,11,21,8,3019,3884,7,0,4,0.714285714,7,Silver 1
2021-09-12T17:32:14.195-04:00,Ascent,defeat,Sage,19,10,20,4,3400,3814,1,2,2,0.95,8,Silver 1
2021-09-11T18:10:18.13-04:00,Breeze,victory,Jett,5,3,17,4,1526,3335,0,0,1,0.294117647,10,Silver 1
2021-09-11T17:16:16.212-04:00,Ascent,victory,Cypher,8,6,20,7,1990,3766,1,0,0,0.4,10,Silver 1
2021-09-10T13:45:15.746-04:00,Breeze,defeat,Sage,11,5,17,6,2149,3082,4,0,1,0.647058824,7,Unrated
2021-09-03T12:53:53.36-04:00,Bind,victory,Cypher,10,6,3,3,1477,686,0,0,0,3.333333333,5,Silver 1
2021-09-03T12:24:34.349-04:00,Split,defeat,Reyna,5,4,15,1,1078,2477,0,0,1,0.333333333,9,Silver 1
2021-08-18T17:42:34.944-04:00,Haven,victory,Sage,20,7,19,8,2716,3982,5,0,2,1.052631579,4,Silver 1
2021-08-17T18:32:35.333-04:00,Haven,defeat,Omen,15,10,19,5,2849,3596,1,0,2,0.789473684,5,Silver 1
2021-08-16T17:48:59.756-04:00,Bind,victory,Reyna,12,7,15,7,2436,3021,0,1,1,0.8,6,Silver 1
2021-08-16T16:58:07.532-04:00,Breeze,victory,Jett,12,6,17,2,2347,3070,0,1,1,0.705882353,8,Silver 1
2021-08-16T12:43:06.896-04:00,Ascent,victory,Phoenix,17,9,24,8,3506,4681,2,1,2,0.708333333,7,Silver 1
2021-08-15T18:07:01.114-04:00,Split,defeat,Cypher,9,4,15,7,1748,2788,3,2,3,0.6,10,Silver 1
2021-08-15T17:13:14.301-04:00,Bind,victory,Sage,16,7,13,6,2271,2192,4,0,1,1.230769231,4,Silver 1
2021-08-15T13:18:42.727-04:00,Bind,victory,Sova,13,7,19,2,2320,3564,3,1,2,0.684210526,10,Silver 1
2021-08-15T12:33:57.512-04:00,Ascent,defeat,Sage,12,9,18,6,2533,3015,3,0,1,0.666666667,8,Silver 1
2021-08-13T09:19:00.395-04:00,Ascent,defeat,Sage,1,0,13,2,273,2490,1,0,0,0.076923077,10,Silver 1
2021-08-12T18:55:54.142-04:00,Icebox,defeat,Sage,6,6,11,3,1365,2236,2,0,1,0.545454545,7,Silver 1
2021-08-12T18:07:30.359-04:00,Bind,victory,Cypher,9,5,17,6,1717,3055,2,1,0,0.529411765,10,Silver 1
2021-08-11T19:33:55.26-04:00,Split,victory,Reyna,21,9,21,9,4272,3670,0,1,5,1,4,Silver 1
2021-08-09T21:15:09.461-04:00,Haven,defeat,Omen,12,7,15,2,2658,2376,2,1,0,0.8,5,Silver 1
2021-08-09T20:13:22.383-04:00,Ascent,victory,Killjoy,18,10,21,8,4119,3793,4,0,5,0.857142857,6,Silver 1
2021-08-09T19:25:44.2-04:00,Bind,defeat,Cypher,14,7,17,2,2552,3297,1,0,1,0.823529412,7,Silver 1
2021-08-09T18:46:00.768-04:00,Bind,defeat,Phoenix,8,6,19,9,2313,3252,2,0,3,0.421052632,8,Silver 1
2021-08-09T17:53:28.997-04:00,Bind,victory,Jett,19,9,22,4,3440,3694,1,2,3,0.863636364,3,Silver 1
2021-08-09T17:18:15.719-04:00,Bind,defeat,Cypher,4,2,12,3,1037,2014,0,0,1,0.333333333,10,Silver 1
2021-08-09T14:02:57.536-04:00,Ascent,victory,Sage,10,4,11,4,1401,2231,5,1,0,0.909090909,10,Silver 1
2021-08-09T13:05:10.089-04:00,Split,victory,Sage,13,7,19,4,2431,3842,2,0,1,0.684210526,8,Silver 1
2021-08-08T19:25:53.499-04:00,Bind,defeat,Cypher,13,3,16,2,1997,2901,1,0,1,0.8125,7,Silver 1
2021-08-08T18:49:00.455-04:00,Icebox,victory,Killjoy,12,5,10,4,2420,1962,2,0,0,1.2,7,Silver 1
2021-08-08T14:20:43.045-04:00,Haven,victory,Cypher,9,3,13,4,1263,2019,3,0,1,0.692307692,10,Silver 1
2021-08-07T17:09:12.209-04:00,Ascent,defeat,Reyna,10,4,14,1,1867,2372,0,0,1,0.714285714,8,Silver 1
2021-08-07T16:57:53.972-04:00,Ascent,victory,Reyna,5,2,1,2,608,275,0,0,0,5,2,Silver 1
2021-08-06T17:14:20.526-04:00,Haven,defeat,Sage,13,7,17,3,2433,2702,2,0,0,0.764705882,6,Silver 1
2021-08-06T16:20:19.919-04:00,Haven,defeat,Cypher,14,3,23,5,2601,4019,0,0,3,0.608695652,8,Silver 1
2021-08-05T20:18:11.735-04:00,Ascent,defeat,Cypher,11,7,16,5,2117,2682,1,0,1,0.6875,8,Silver 1
2021-08-05T19:33:37.992-04:00,Split,victory,Cypher,13,7,13,2,2456,2322,0,1,0,1,8,Silver 1
2021-08-05T17:45:18.617-04:00,Icebox,defeat,Cypher,14,8,22,7,3219,3290,0,0,5,0.636363636,5,Silver 1
2021-08-05T17:09:52.761-04:00,Haven,victory,Cypher,13,4,11,6,2107,2214,1,0,1,1.181818182,7,Silver 1
2021-08-05T16:28:58.828-04:00,Haven,defeat,Jett,4,1,15,4,1170,2495,0,0,0,0.266666667,10,Silver 1
2021-07-24T15:53:33.855-04:00,Split,victory,Jett,17,10,17,4,3189,3156,1,0,3,1,4,Silver 1
2021-07-23T17:33:52.052-04:00,Breeze,defeat,Sova,5,3,16,3,1167,2462,0,0,1,0.3125,9,Silver 1
2021-07-23T16:39:11.752-04:00,Bind,victory,Cypher,11,5,14,4,1976,2556,3,0,1,0.785714286,10,Silver 1
2021-07-23T13:45:50.001-04:00,Ascent,victory,Killjoy,8,5,18,7,2245,3080,1,0,1,0.444444444,8,Bronze 3
2021-07-23T13:18:02.905-04:00,Haven,victory,Sage,5,2,8,3,864,1377,2,1,0,0.625,9,Bronze 3
2021-07-21T17:09:17.552-04:00,Icebox,defeat,Killjoy,17,12,17,6,3676,2887,4,0,3,1,3,Bronze 3
2021-07-21T16:29:23.545-04:00,Split,victory,Reyna,13,6,17,2,2334,3074,0,0,3,0.764705882,7,Bronze 3
2021-07-20T17:56:16.081-04:00,Icebox,defeat,Jett,11,6,18,2,2385,2902,0,0,1,0.611111111,6,Bronze 3
2021-07-19T18:37:57.295-04:00,Haven,defeat,Sage,1,0,14,0,214,2265,1,0,0,0.071428571,10,Bronze 3
2021-07-18T10:35:21.473-04:00,Haven,victory,Phoenix,11,4,13,1,2039,2549,2,1,4,0.846153846,8,Bronze 3
2021-07-18T09:59:11.224-04:00,Bind,defeat,Sage,9,6,16,3,1923,2626,2,0,1,0.5625,8,Bronze 3
2021-07-17T14:58:39.369-04:00,Bind,defeat,Jett,19,6,26,8,3643,4685,0,1,4,0.730769231,7,Bronze 3
2021-07-17T14:18:14.074-04:00,Ascent,victory,Sage,17,10,13,3,4018,3507,6,0,0,1.307692308,5,Bronze 3
2021-07-17T06:35:25.891-04:00,Haven,victory,Sage,16,8,13,1,2429,2225,3,0,4,1.230769231,7,Bronze 3
2021-07-16T17:07:43.419-04:00,Icebox,defeat,Phoenix,7,4,16,1,958,2606,1,0,0,0.4375,10,Bronze 3
2021-07-16T16:17:21.482-04:00,Ascent,victory,Killjoy,9,5,9,10,2277,2102,3,1,2,1,6,Bronze 3
2021-07-16T15:05:30.56-04:00,Bind,victory,Killjoy,10,5,11,8,2270,2012,2,1,0,0.909090909,6,Bronze 3
2021-07-16T09:44:52.013-04:00,Bind,defeat,Omen,8,2,14,3,1440,2130,0,0,1,0.571428571,8,Bronze 3
2021-07-16T07:13:18.63-04:00,Split,defeat,Sage,14,7,16,3,2907,2687,3,0,1,0.875,9,Bronze 3
2021-07-15T15:02:45.308-04:00,Ascent,victory,Sage,10,4,14,5,1810,2577,8,1,1,0.714285714,10,Bronze 3
2021-07-15T14:15:02.551-04:00,Haven,defeat,Omen,11,8,19,2,2204,3279,4,0,2,0.578947368,10,Bronze 3
