,Date,hour,Map Name,Match Result,Agent Name,kills,headshots,deaths,assists,damage,damageReceived,plants,defuses,firstBloods,kdRatio,placement,rank
141,2021-08-05,19:33:37,Split,1,Cypher,13,7,13,2,2456,2322,0,1,0,1.0,8,Silver 1
142,2021-08-05,17:45:18,Icebox,0,Cypher,14,8,22,7,3219,3290,0,0,5,0.636363636,5,Silver 1
143,2021-08-05,17:09:52,Haven,1,Cypher,13,4,11,6,2107,2214,1,0,1,1.181818182,7,Silver 1
144,2021-08-05,16:28:58,Haven,0,Jett,4,1,15,4,1170,2495,0,0,0,0.266666667,10,Silver 1
145,2021-07-24,15:53:33,Split,1,Jett,17,10,17,4,3189,3156,1,0,3,1.0,4,Silver 1
146,2021-07-23,17:33:52,Breeze,0,Sova,5,3,16,3,1167,2462,0,0,1,0.3125,9,Silver 1
147,2021-07-23,16:39:11,Bind,1,Cypher,11,5,14,4,1976,2556,3,0,1,0.785714286,10,Silver 1
148,2021-07-23,13:45:50,Ascent,1,Killjoy,8,5,18,7,2245,3080,1,0,1,0.444444444,8,Bronze 3
149,2021-07-23,13:18:02,Haven,1,Sage,5,2,8,3,864,1377,2,1,0,0.625,9,Bronze 3
150,2021-07-21,17:09:17,Icebox,0,Killjoy,17,12,17,6,3676,2887,4,0,3,1.0,3,Bronze 3
151,2021-07-21,16:29:23,Split,1,Reyna,13,6,17,2,2334,3074,0,0,3,0.764705882,7,Bronze 3
152,2021-07-20,17:56:16,Icebox,0,Jett,11,6,18,2,2385,2902,0,0,1,0.611111111,6,Bronze 3
153,2021-07-19,18:37:57,Haven,0,Sage,1,0,14,0,214,2265,1,0,0,0.071428571,10,Bronze 3
154,2021-07-18,10:35:21,Haven,1,Phoenix,11,4,13,1,2039,2549,2,1,4,0.846153846,8,Bronze 3
155,2021-07-18,09:59:11,Bind,0,Sage,9,6,16,3,1923,2626,2,0,1,0.5625,8,Bronze 3
156,2021-07-17,14:58:39,Bind,0,Jett,19,6,26,8,3643,4685,0,1,4,0.730769231,7,Bronze 3
157,2021-07-17,14:18:14,Ascent,1,Sage,17,10,13,3,4018,3507,6,0,0,1.307692308,5,Bronze 3
158,2021-07-17,06:35:25,Haven,1,Sage,16,8,13,1,2429,2225,3,0,4,1.230769231,7,Bronze 3
159,2021-07-16,17:07:43,Icebox,0,Phoenix,7,4,16,1,958,2606,1,0,0,0.4375,10,Bronze 3
160,2021-07-16,16:17:21,Ascent,1,Killjoy,9,5,9,10,2277,2102,3,1,2,1.0,6,Bronze 3
161,2021-07-16,15:05:30,Bind,1,Killjoy,10,5,11,8,2270,2012,2,1,0,0.909090909,6,Bronze 3
162,2021-07-16,09:44:52,Bind,0,Omen,8,2,14,3,1440,2130,0,0,1,0.571428571,8,Bronze 3
163,2021-07-16,07:13:18,Split,0,Sage,14,7,16,3,2907,2687,3,0,1,0.875,9,Bronze 3
164,2021-07-15,15:02:45,Ascent,1,Sage,10,4,14,5,1810,2577,8,1,1,0.714285714,10,Bronze 3
165,2021-07-15,14:15:02,Haven,0,Omen,11,8,19,2,2204,3279,4,0,2,0.578947368,10,Bronze 3
