ID,Area,Sub Area,lat,long,Type
"
NW-88010105
","
Cumbria And Lancashire
","
North Cumbria
",55.004722," -2.995087
","
Sewage Discharges – Final/Treated Effluent – Not Water Company
"
"
NW-88010136
","
Cumbria And Lancashire
","
North Cumbria
",54.868945," -3.371954
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88010183
","
Cumbria And Lancashire
","
North Cumbria
",54.780091," -3.40082
","
Groundwater – Borehole
"
"
NW-88010030
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.344552," -2.277077
","
Sewage & Trade Combined – Unspecified
"
"
NW-88010101
","
Cumbria And Lancashire
","
North Cumbria
",54.731311," -3.371352
","
Freshwater – Comparative Inlet Points
"
"
NW-88010024
","
Cumbria And Lancashire
","
North Cumbria
",54.504899," -2.924462
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88010107
","
Cumbria And Lancashire
","
North Cumbria
",54.39475," -3.479611
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88010023
","
Cumbria And Lancashire
","
North Cumbria
",54.562823," -2.930134
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88010109
","
Cumbria And Lancashire
","
North Cumbria
",54.67175," -3.544719
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88010017
","
Greater Manchester Merseyside And Cheshire
","
Cheshire
",53.045974," -2.719665
","
Trade Discharges – Process Effluent – Not Water Company
"
"
NW-88010126
","
Cumbria And Lancashire
","
North Cumbria
",54.584062," -3.356853
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88010014
","
Cumbria And Lancashire
","
North Cumbria
",54.578753," -3.146354
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88010089
","
Greater Manchester Merseyside And Cheshire
","
Manchester
",53.329744," -2.401531
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88010013
","
Cumbria And Lancashire
","
Morecombe Bay
",54.429216," -3.035317
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88009966
","
Cumbria And Lancashire
","
North Cumbria
",54.61271," -3.157373
","
Sewage – Crude To Further Treatment – Water Company
"
